student,teacher
0,null
1,2 3 4 5 6 7
2,8
3,9
4,10
5,11
6,11
7,11
8,11
9,12
10,12
11,13
12,14
13,15
14,15
15,16
16,16
17,17 18 19
18,20
19,20
20,21
21,22 23 24 25
22,26
23,27 28
24,29
25,30 31
26,32 33
27,34
28,34
29,null
30,35 36 37
31,38
32,38
33,38 39
34,40
35,41 42
36,43
37,44
38,45 46
39,47 48
40,49
41,49
42,50
43,50 51
44,52 53 54 55 56 57
45,57
