startFrame,endFrame,startTime,endTime
83,110,0.481814058957,0.638548752834
110,222,0.638548752834,1.28870748299
222,231,1.28870748299,1.34095238095
259,267,1.50349206349,1.54993197279
267,280,1.54993197279,1.6253968254
280,292,1.6253968254,1.69505668934
292,298,1.69505668934,1.72988662132
306,312,1.77632653061,1.81115646259
312,357,1.81115646259,2.07238095238
357,372,2.07238095238,2.15945578231
372,518,2.15945578231,3.00698412698
546,555,3.16952380952,3.22176870748
555,578,3.22176870748,3.35528344671
578,587,3.35528344671,3.40752834467
602,609,3.4946031746,3.53523809524
609,618,3.53523809524,3.5874829932
618,621,3.5874829932,3.60489795918
736,768,4.27247165533,4.45823129252
768,781,4.45823129252,4.53369614512
781,791,4.53369614512,4.59174603175
791,806,4.59174603175,4.67882086168
818,877,4.74848072562,5.09097505669
877,900,5.09097505669,5.22448979592
900,921,5.22448979592,5.34639455782
921,934,5.34639455782,5.42185941043
971,982,5.63664399093,5.70049886621
982,1003,5.70049886621,5.82240362812
1003,1016,5.82240362812,5.89786848073
1016,1023,5.89786848073,5.93850340136
1023,1033,5.93850340136,5.99655328798
1106,1146,6.42031746032,6.6525170068
1146,1161,6.6525170068,6.73959183673
1326,1342,7.69741496599,7.79029478458
1342,1351,7.79029478458,7.84253968254
1351,1362,7.84253968254,7.90639455782
1362,1382,7.90639455782,8.02249433107
1382,1394,8.02249433107,8.09215419501
1394,1408,8.09215419501,8.17342403628
1408,1428,8.17342403628,8.28952380952
1428,1438,8.28952380952,8.34757369615
1438,1454,8.34757369615,8.44045351474
1454,1467,8.44045351474,8.51591836735
1486,1493,8.62621315193,8.66684807256
1493,1520,8.66684807256,8.82358276644
1520,1730,8.82358276644,10.0426303855
1730,1782,10.0426303855,10.3444897959
