startTime,pitch,freq,duration,noteStr
0.267029478,66.789185289,387.251,0.412154195,G4-21.1c
0.684988661,68.8573345506,436.389,0.313469388,A4-14.3c
1.259682539,64.6726552776,342.687,0.267029478,F4-32.7c
1.532517006,66.4176108605,379.028,0.365714286,F#4+41.8c
1.90403628,67.4398778014,402.083,0.893968254,G4+44.0c
2.850249432,64.8945731092,347.108,0.406349207,F4-10.5c
3.970612244,63.4438109506,319.206,0.336689342,D#4+44.4c
4.371156462,59.0246845541,247.294,0.220589569,B3+2.5c
4.63818594,67.0216520418,392.486,0.238004535,G4+2.2c
4.881995464,64.2877958869,335.153,0.133514739,E4+28.8c
5.021315192,61.6704160335,288.127,0.121904762,D4-33.0c
5.305759636,61.484659201,285.052,0.226394558,C#4+48.5c
5.537959183,56.8267205348,217.809,0.284444444,A3-17.3c
5.921088435,59.2527984251,250.574,0.38893424,B3+25.3c
6.315827664,61.0558953054,278.079,0.267029478,C#4+5.6c
7.563900226,68.8416173824,435.993,0.191564626,A4-15.8c
7.76126984,66.976955633,391.474,0.365714286,G4-2.3c
8.161814058,64.8768580873,346.753,0.185759637,F4-12.3c
8.405623582,66.0959624744,372.051,2.426485261,F#4+9.6c
