teacher,student
0,null
1,null
2,1
3,1
4,1
5,1
6,1
7,1
8,2
9,3
10,4
11,5 6 7 8
12,9 10
13,11
14,12
15,13 14
16,15 16
17,17
18,17
19,17
20,18 19
21,20
22,21
23,21
24,21
25,21
26,22
27,23
28,23
29,24
30,25
31,25
32,26
33,26
34,27 28
35,30
36,30
37,30
38,31 32 33
39,33
40,34
41,35
42,35
43,36
44,37
45,38
46,38
47,39
48,39
49,40 41
50,42 43
51,43
52,44
53,44
54,44
55,44
56,44
57,44 45
