startFrame,endFrame,startTime,endTime
47,57,0.27283446712,0.330884353741
57,69,0.330884353741,0.400544217687
69,97,0.400544217687,0.563083900227
97,119,0.563083900227,0.690793650794
119,133,0.690793650794,0.772063492063
133,152,0.772063492063,0.882358276644
152,174,0.882358276644,1.01006802721
218,225,1.26548752834,1.30612244898
225,236,1.30612244898,1.36997732426
236,249,1.36997732426,1.44544217687
249,259,1.44544217687,1.50349206349
259,329,1.50349206349,1.90984126984
329,484,1.90984126984,2.80961451247
492,501,2.85605442177,2.90829931973
501,532,2.90829931973,3.08825396825
532,546,3.08825396825,3.16952380952
546,557,3.16952380952,3.23337868481
557,563,3.23337868481,3.26820861678
684,696,3.9706122449,4.04027210884
696,713,4.04027210884,4.1389569161
713,730,4.1389569161,4.23764172336
730,743,4.23764172336,4.31310657596
753,792,4.37115646259,4.59755102041
799,806,4.63818594104,4.67882086168
806,815,4.67882086168,4.73106575964
815,830,4.73106575964,4.81814058957
830,850,4.81814058957,4.93424036281
850,858,4.93424036281,4.98068027211
858,872,4.98068027211,5.06195011338
872,883,5.06195011338,5.12580498866
883,887,5.12580498866,5.14902494331
914,921,5.30575963719,5.34639455782
921,932,5.34639455782,5.41024943311
932,943,5.41024943311,5.47410430839
943,964,5.47410430839,5.59600907029
964,981,5.59600907029,5.69469387755
981,989,5.69469387755,5.74113378685
989,1004,5.74113378685,5.82820861678
1020,1061,5.92108843537,6.15909297052
1061,1067,6.15909297052,6.19392290249
1067,1074,6.19392290249,6.23455782313
1074,1081,6.23455782313,6.27519274376
1081,1093,6.27519274376,6.34485260771
1093,1107,6.34485260771,6.42612244898
1107,1122,6.42612244898,6.51319727891
1122,1135,6.51319727891,6.58866213152
1302,1307,7.5580952381,7.58712018141
1307,1312,7.58712018141,7.61614512472
1312,1323,7.61614512472,7.68
1323,1348,7.68,7.82512471655
1348,1368,7.82512471655,7.9412244898
1368,1385,7.9412244898,8.03990929705
1385,1394,8.03990929705,8.09215419501
1394,1400,8.09215419501,8.12698412698
1405,1424,8.15600907029,8.26630385488
1424,1438,8.26630385488,8.34757369615
1447,1498,8.3998185941,8.69587301587
1498,1866,8.69587301587,10.8321088435
