teacher,student
0,null
1,null
2,null
3,null
4,null
5,null
6,null
7,null
8,null
9,null
10,null
11,null
12,null
13,null
14,null
15,null
16,1 2
17,null
18,4 5 6
19,7 8
20,9 10
21,11
22,11
23,12
24,13
25,14 15 16
26,17
27,18
28,19 20
29,21
30,21
31,21
32,22
33,22
34,23
35,23
36,23
37,23
38,23
39,23
40,23
41,23
42,23
43,23
44,24
45,25
46,26
47,27
48,27
49,28 29
50,30
51,31
52,31
53,31
54,32 33 34 35 36
55,37
