student,teacher
0,null
1,16
2,16
3,null
4,18
5,18
6,18
7,19
8,19
9,20
10,20
11,21 22
12,23
13,24
14,25
15,25
16,25
17,26
18,27
19,28
20,28
21,29 30 31
22,32 33
23,34 35 36 37 38 39 40 41 42 43
24,44
25,45
26,46
27,47 48
28,49
29,49
30,50
31,51 52 53
32,54
33,54
34,54
35,54
36,54
37,55
38,null
39,null
40,null
41,null
42,null
43,null
44,null
45,null
