student,teacher
0,null
1,null
2,3 4 5 6
3,6
4,7
5,8
6,9
7,10 11 12
8,13
9,14
10,14
11,15 16 17
12,18
13,18
14,18
15,18
16,18
17,18
18,19
19,19
20,19
21,20
22,21
23,21 22
24,23
25,24
26,25
27,25
28,25 26
29,27
30,28 29
31,30
32,31
33,32
34,33 34
35,35
36,36 37
37,38
38,39 40
39,41 42
40,42
41,42
42,43
43,43 44
44,45
45,46
46,47
47,49
48,49
49,49
50,49
51,49
52,null
53,null
