teacher,student
0,null
1,null
2,null
3,2
4,2
5,2
6,2 3
7,4
8,5
9,6
10,7
11,7
12,7
13,8
14,9 10
15,11
16,11
17,11
18,12 13 14 15 16 17
19,18 19 20
20,21
21,22 23
22,23
23,24
24,25
25,26 27 28
26,28
27,29
28,30
29,30
30,31
31,32
32,33
33,34
34,34
35,35
36,36
37,36
38,37
39,38
40,38
41,39
42,39 40 41
43,42 43
44,43
45,44
46,45
47,46
48,null
49,47 48 49 50 51
