startTime,pitch,freq,duration,noteStr
0.38893424,68.5415001671,428.5,0.243809523,A4-45.9c
0.638548752,66.5060410147,380.969,0.505034014,G4-49.4c
1.219047618,67.9630812688,414.42,0.342494331,G#4-3.7c
1.567346938,64.8443250552,346.102,0.336689342,F4-15.6c
1.967891156,66.3735692622,378.065,0.470204081,F#4+37.4c
2.443900226,67.5066588431,403.637,1.131972789,G#4-49.3c
5.479909296,61.347281939,282.799,0.574693878,C#4+34.7c
6.060408162,64.1944623747,333.351,0.13351474,E4+19.4c
6.217142856,64.2889322604,335.175,0.365714286,E4+28.9c
6.594467119,68.2655472349,421.724,0.505034014,G#4+26.6c
7.28526077,67.4359592042,401.992,0.423764172,G4+43.6c
7.714829931,64.691993402,343.07,0.272834467,F4-30.8c
7.993469387,66.308652067,376.65,0.487619048,F#4+30.9c
8.492698412,68.2303715661,420.868,0.534058957,G#4+23.0c
9.079002267,65.078828377,350.822,1.044897959,F4+7.9c
