startFrame,endFrame,startTime,endTime
61,105,0.35410430839,0.609523809524
105,142,0.609523809524,0.824308390023
142,169,0.824308390023,0.9810430839
169,186,0.9810430839,1.07972789116
203,254,1.17841269841,1.47446712018
254,282,1.47446712018,1.63700680272
282,337,1.63700680272,1.95628117914
337,368,1.95628117914,2.13623582766
379,527,2.20009070295,3.05922902494
527,586,3.05922902494,3.40172335601
597,609,3.46557823129,3.53523809524
609,637,3.53523809524,3.69777777778
637,657,3.69777777778,3.81387755102
657,672,3.81387755102,3.90095238095
692,714,4.0170521542,4.14476190476
714,719,4.14476190476,4.17378684807
725,758,4.20861678005,4.4001814059
758,792,4.4001814059,4.59755102041
792,924,4.59755102041,5.36380952381
924,964,5.36380952381,5.59600907029
964,998,5.59600907029,5.79337868481
998,1010,5.79337868481,5.86303854875
1017,1027,5.90367346939,5.96172335601
1027,1039,5.96172335601,6.03138321995
1039,1057,6.03138321995,6.13587301587
1057,1067,6.13587301587,6.19392290249
1103,1111,6.40290249433,6.44934240363
1111,1121,6.44934240363,6.50739229025
1121,1148,6.50739229025,6.66412698413
1148,1166,6.66412698413,6.76861678005
1166,1177,6.76861678005,6.83247165533
1177,1194,6.83247165533,6.93115646259
1194,1204,6.93115646259,6.98920634921
1204,1211,6.98920634921,7.02984126984
1211,1231,7.02984126984,7.14594104308
1231,1267,7.14594104308,7.35492063492
1267,1297,7.35492063492,7.52907029478
1297,1325,7.52907029478,7.69160997732
1325,1384,7.69160997732,8.03410430839
1383,1407,8.02829931973,8.16761904762
1407,1428,8.16761904762,8.28952380952
1459,1474,8.46947845805,8.55655328798
1474,1499,8.55655328798,8.70167800454
1499,1537,8.70167800454,8.9222675737
1537,1562,8.9222675737,9.06739229025
1574,1704,9.1370521542,9.89170068027
1729,1735,10.0368253968,10.0716553288
1735,1779,10.0716553288,10.3270748299
1779,1811,10.3270748299,10.5128344671
1811,1853,10.5128344671,10.7566439909
1853,1862,10.7566439909,10.8088888889
1862,1879,10.8088888889,10.9075736961
1879,1982,10.9075736961,11.5054875283
1988,2019,11.5403174603,11.7202721088
2019,2269,11.7202721088,13.1715192744
2269,2372,13.1715192744,13.7694331066
