startTime,pitch,freq,duration,noteStr
0.377324262,68.6528533542,431.265,0.214784581,A4-34.7c
0.597913831,67.0261506209,392.588,0.539863946,G4+2.6c
1.195827664,65.2318198411,353.936,0.296054421,F4+23.2c
1.497687074,66.8235745267,388.021,0.754648526,G4-17.6c
2.327800453,62.6669605364,305.199,0.946213152,D#4-33.3c
3.355283446,62.8308542845,308.102,0.110294784,D#4-16.9c
3.471383219,64.5973187352,341.199,0.243809524,F4-40.3c
3.784852607,61.8183145761,290.599,0.203174603,D4-18.2c
3.993832199,63.8267859918,326.346,0.191564626,E4-17.3c
4.191201813,66.3121449786,376.726,0.226394558,F#4+31.2c
4.42340136,67.6746170244,407.572,1.137777777,G#4-32.5c
5.572789115,62.7364222827,306.426,0.336689342,D#4-26.4c
5.955918367,56.1396375505,209.334,0.255419501,G#3+14.0c
6.217142856,59.4600002529,253.591,0.214784581,B3+46.0c
6.501587301,60.8218531062,274.345,0.882358276,C#4-17.8c
7.412970521,60.4967351571,269.241,0.110294784,C4+49.7c
7.529070294,62.0643880865,294.759,0.417959184,D4+6.4c
7.952834466,61.5027484712,285.35,0.26122449,D4-49.7c
8.260498865,59.1060513388,248.459,0.394739229,B3+10.6c
8.661043083,57.9383244983,232.253,0.963628118,A#3-6.2c
9.653696144,54.06666897,185.711,0.110294785,F#3+6.7c
9.827845804,56.3963341947,212.461,0.371519275,G#3+39.6c
10.263219954,56.2716217692,210.936,0.150929705,G#3+27.2c
10.419954648,58.8432588829,244.716,0.232199546,B3-15.7c
10.657959183,56.6944318437,216.151,0.371519274,A3-30.6c
11.27909297,58.6332941547,241.766,2.054965986,B3-36.7c
13.339863945,60.5824282393,270.577,0.162539682,C#4-41.8c
