student,teacher
0,null
1,1 2
2,3
3,4
4,5 6 7 8
5,9
6,10 11
7,12
8,13 14 15
9,16 17
10,17 18
11,19
12,20
13,21 22
14,23 24
15,24
16,25 26
17,27 28
18,29 30
19,30
20,30 31
21,31
22,32
23,33
24,34
25,34
26,35
27,36
28,36 37
29,38
30,39
31,40 41
32,42
33,42
34,43
35,43
36,43
37,44
38,45 46
39,47
40,48
41,49
42,49
43,50 51 52
44,53
45,54 55 56 57
46,58
47,59 60
48,61
49,62 63
50,64
51,65
52,66 67 68
53,68
54,69 70
55,70 71
