startTime,pitch,freq,duration,noteStr
0.348299319,65.0965352266,351.181,0.719818594,F4+9.7c
1.172607709,63.6988909573,323.944,0.952018141,E4-30.1c
2.194285713,61.0534048497,278.039,1.195827665,C#4+5.3c
3.459773242,62.6220330044,304.408,0.162539682,D#4-37.8c
3.628117913,65.0707827947,350.659,0.127709751,F4+7.1c
3.761632652,63.3890549285,318.198,0.127709751,D#4+38.9c
4.017052153,59.3803524938,252.427,0.150929706,B3+38.0c
4.208616779,61.6479293479,287.753,0.127709751,D4-35.2c
4.342131518,64.3391680079,336.149,0.249614513,E4+33.9c
4.59755102,65.247416303,354.255,1.068117913,F4+24.7c
5.671473922,66.9939291239,391.858,0.185759637,G4-0.6c
5.903673469,61.2978699222,281.993,0.174149659,C#4+29.8c
6.083628117,59.2674394671,250.786,0.104489796,B3+26.7c
6.402902494,57.6506043782,228.425,0.621133786,A#3-34.9c
7.029841269,58.8845950978,245.301,0.789478458,B3-11.5c
7.825124716,60.4258596862,268.141,0.464399093,C4+42.6c
8.475283446,56.9282413519,219.09,0.592108843,A3-7.2c
9.142857142,55.919497041,206.689,0.748843537,G#3-8.1c
10.042630385,54.2861150442,188.08,0.470204081,F#3+28.6c
10.518639455,56.4751134452,213.43,0.38893424,G#3+47.5c
10.913378684,54.7619380661,193.321,0.592108844,G3-23.8c
11.551927437,58.0468876041,233.714,0.17414966,A#3+4.7c
11.731882085,56.7230816811,216.509,2.043356009,A3-27.7c
