teacher,student
0,null
1,null
2,1
3,1
4,2
5,3
6,4 5
7,6
8,7
9,8
10,9 10
11,11 12
12,13
13,13
14,14
15,14
16,15
17,16
18,16
19,17 18
20,18
21,19
22,20
23,20
24,20 21
25,22
26,22
