teacher,student
0,null
1,1
2,1
3,2
4,3
5,4
6,4
7,4
8,4
9,5
10,6
11,6
12,7
13,8
14,8
15,8
16,9
17,9 10
18,10
19,11
20,12
21,13
22,13
23,14
24,14 15
25,16
26,16
27,17
28,17
29,18
30,18 19 20
31,20 21
32,22
33,23
34,24 25
35,26
36,27 28
37,28
38,29
39,30
40,31
41,31
42,32 33
43,34 35 36
44,37
45,38
46,38
47,39
48,40
49,41 42
50,43
51,43
52,43
53,44
54,45
55,45
56,45
57,45
58,46
59,47
60,47
61,48
62,49
63,49
64,50
65,51
66,52
67,52
68,52 53
69,54
70,54 55
71,55
72,null
