startTime,pitch,freq,duration,noteStr
0.464399092,65.8006307537,365.758,0.336689342,F#4-19.9c
0.806870748,64.1592150836,332.673,0.267029478,E4+15.9c
1.271269841,67.1304363173,394.96,0.313469387,G4+13.0c
1.590566893,65.2800793097,354.924,0.481814058,F4+28.0c
2.078163265,66.5743431262,382.475,0.934603174,G4-42.6c
3.018571428,65.2152301304,353.597,0.77786848,F4+21.5c
4.562721088,66.1297583538,372.778,1.497687074,F#4+13.0c
6.066213151,63.0453469437,311.943,0.243809523,D#4+4.5c
6.489954648,59.6085285085,255.776,0.121904761,C4-39.2c
6.617687074,57.7376950822,229.577,0.150929705,A#3-26.2c
6.774421768,60.3314680547,266.683,0.220589569,C4+33.1c
7.064671201,62.9145437785,309.595,0.226394557,D#4-8.5c
7.337505668,65.054482736,350.329,0.470204081,F4+5.4c
7.813492063,66.6931597869,385.109,0.51664399,G4-30.7c
8.510113378,64.1651986624,332.788,0.38893424,E4+16.5c
8.928072562,63.6953099471,323.877,0.73723356,E4-30.5c
