student,teacher
0,0 1 2 3 4 5
1,6 7
2,7 8
3,9
4,10
5,10
6,10
7,10
8,11
9,12
10,12
11,12
12,12
13,12
14,13 14
15,15
16,15
17,16
18,17
19,17
20,18
21,19
22,20
23,20
24,21
25,22
26,22
27,22
28,22
29,22
30,22
31,23
32,24 25 26 27 28 29
33,30 31 32
34,33
35,34
36,35
37,36
38,37
39,37 38
40,39
41,40
42,40 41
43,41
44,42 43
45,43
46,43
47,44
48,45
49,46 47
50,48
51,49
52,50
53,51
54,51
55,51
56,51
