startFrame,endFrame,startTime,endTime
135,142,0.783673469388,0.824308390023
142,168,0.824308390023,0.975238095238
168,181,0.975238095238,1.05070294785
181,205,1.05070294785,1.19002267574
205,217,1.19002267574,1.25968253968
217,228,1.25968253968,1.32353741497
228,238,1.32353741497,1.38158730159
238,281,1.38158730159,1.63120181406
287,292,1.66603174603,1.69505668934
292,305,1.69505668934,1.77052154195
305,341,1.77052154195,1.97950113379
341,361,1.97950113379,2.09560090703
361,424,2.09560090703,2.46131519274
442,458,2.56580498866,2.65868480726
458,472,2.65868480726,2.73995464853
472,495,2.73995464853,2.87346938776
495,518,2.87346938776,3.00698412698
518,586,3.00698412698,3.40172335601
586,612,3.40172335601,3.55265306122
612,641,3.55265306122,3.72099773243
641,688,3.72099773243,3.99383219955
688,720,3.99383219955,4.17959183673
720,784,4.17959183673,4.55111111111
783,807,4.54530612245,4.68462585034
1079,1097,6.26358276644,6.36807256236
1097,1208,6.36807256236,7.01242630385
1208,1222,7.01242630385,7.09369614512
1237,1269,7.18077097506,7.36653061224
1269,1289,7.36653061224,7.48263038549
1289,1304,7.48263038549,7.56970521542
1303,1312,7.56390022676,7.61614512472
1312,1327,7.61614512472,7.70321995465
1327,1345,7.70321995465,7.80770975057
1345,1373,7.80770975057,7.97024943311
1373,1379,7.97024943311,8.00507936508
1410,1439,8.18503401361,8.35337868481
1439,1459,8.35337868481,8.46947845805
1459,1480,8.46947845805,8.59138321995
1480,1486,8.59138321995,8.62621315193
1519,1527,8.81777777778,8.86421768707
1527,1554,8.86421768707,9.02095238095
1563,1572,9.07319727891,9.12544217687
1572,1578,9.12544217687,9.16027210884
1578,1638,9.16027210884,9.50857142857
1638,1649,9.50857142857,9.57242630385
1658,1664,9.62467120181,9.65950113379
1664,1675,9.65950113379,9.72335600907
1675,1681,9.72335600907,9.75818594104
1681,1714,9.75818594104,9.94975056689
1714,1753,9.94975056689,10.1761451247
1762,1815,10.2283900227,10.5360544218
1815,1988,10.5360544218,11.5403174603
