teacher,student
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,1 2
8,2
9,3
10,4 5 6 7
11,8
12,9 10 11 12 13
13,14
14,14
15,15 16
16,17
17,18 19
18,20
19,21
20,22 23
21,24
22,25 26 27 28 29 30
23,31
24,32
25,32
26,32
27,32
28,32
29,32
30,33
31,33
32,33
33,34
34,35
35,36
36,37
37,38 39
38,39
39,40
40,41 42
41,42 43
42,44
43,44 45 46
44,47
45,48
46,49
47,49
48,50
49,51
50,52
51,53 54 55 56
