student,teacher
0,null
1,1
2,1
3,1
4,2 3
5,5 6
6,7 8
7,9 10
8,10 11
9,12
10,13 14
11,14
12,15
13,16
14,17
15,18
16,19 20
17,21
18,22 23
19,24
20,25
21,26
22,27
23,28
24,29 30
25,31
26,32
27,33 34 35 36
28,37
29,38
