teacher,student
0,null
1,1 2 3
2,4
3,4
4,null
5,5
6,5
7,6
8,6
9,7
10,7 8
11,8
12,9
13,10
14,10 11
15,12
16,13
17,14
18,15
19,16
20,16
21,17
22,18
23,18
24,19
25,20
26,21
27,22
28,23
29,24
30,24
31,25
32,26
33,27
34,27
35,27
36,27
37,28
38,29
