teacher,student
0,null
1,9
2,10
3,11 12 13
4,14
5,14
6,15 16
7,16
8,17
9,17
10,17
11,18
12,18
13,19
14,19
15,19
16,20
17,21
18,21
19,21
20,21
21,21
22,21
23,21
24,21
25,21
26,21
27,21
28,21
29,21
30,21
31,21
32,21
33,21
34,21
35,22
36,22 23
37,24
38,24 25
39,26
40,27
41,28
42,28 29 30 31
43,32 33
44,33
45,34 35
46,36
47,37
48,38
49,38 39
50,39
51,40
52,41
53,42
54,43
55,43
56,44
57,45 46
58,47
59,48
60,48
61,48 49
62,49
63,50
64,51
65,51
66,52
67,52
68,53 54 55
69,null
