startTime,pitch,freq,duration,noteStr
0.365714285,63.160565871,314.026,0.679183673,D#4+16.1c
1.050702947,64.9713114945,348.65,0.296054422,F4-2.9c
1.387392289,64.830613895,345.828,0.249614513,F4-16.9c
1.642811791,69.4416457675,451.369,0.168344671,A4+44.2c
1.834376416,66.9435346714,390.719,0.3076644,G4-5.6c
2.792199546,64.7453010971,344.128,0.719818594,F4-25.5c
3.587482992,62.7074713064,305.914,0.336689343,D#4-29.3c
3.929977323,64.9869458706,348.965,0.383129252,F4-1.3c
4.318911564,66.4375139874,379.464,0.290249433,F#4+43.7c
4.736870747,64.2522724562,334.466,0.336689343,E4+25.2c
5.154829931,62.8272577324,308.038,2.931519275,D#4-17.3c
8.19664399,64.0650792514,330.869,0.354104308,E4+6.5c
8.556553287,62.7345012569,306.392,0.290249433,D#4-26.6c
8.852607709,59.711846186,257.307,0.499229025,C4-28.8c
9.421496598,67.0760416824,393.721,0.278639456,G4+7.6c
9.705941042,65.6739794384,363.092,0.986848073,F#4-32.6c
10.826303854,63.7373801014,324.665,0.743038549,E4-26.3c
11.650612244,61.012447763,277.382,0.342494331,C#4+1.2c
12.14403628,59.2590845402,250.665,0.859138322,B3+25.9c
13.008979591,58.5721046611,240.913,2.165260771,B3-42.8c
