student,teacher
0,null
1,null
2,null
3,null
4,null
5,1
6,2 3
7,4
8,5 6
9,7
10,8 9 10 11
11,12
12,12
13,13
14,14
15,15
16,16 17
17,17
18,18
19,19 20 21
