startFrame,endFrame,startTime,endTime
110,137,0.638548752834,0.795283446712
137,156,0.795283446712,0.905578231293
156,172,0.905578231293,0.998458049887
172,283,0.998458049887,1.64281179138
283,301,1.64281179138,1.7473015873
301,319,1.7473015873,1.85179138322
336,368,1.95047619048,2.13623582766
368,387,2.13623582766,2.24653061224
387,396,2.24653061224,2.2987755102
396,401,2.2987755102,2.32780045351
545,548,3.16371882086,3.18113378685
548,566,3.18113378685,3.28562358277
566,574,3.28562358277,3.33206349206
574,584,3.33206349206,3.39011337868
588,594,3.41333333333,3.44816326531
594,619,3.44816326531,3.59328798186
619,626,3.59328798186,3.63392290249
626,647,3.63392290249,3.7558276644
647,657,3.7558276644,3.81387755102
664,700,3.85451247166,4.06349206349
700,706,4.06349206349,4.09832199546
706,714,4.09832199546,4.14476190476
714,724,4.14476190476,4.20281179138
724,740,4.20281179138,4.29569160998
740,764,4.29569160998,4.43501133787
764,811,4.43501133787,4.70784580499
811,836,4.70784580499,4.85297052154
836,879,4.85297052154,5.10258503401
879,911,5.10258503401,5.2883446712
911,949,5.2883446712,5.50893424036
949,980,5.50893424036,5.68888888889
980,1007,5.68888888889,5.84562358277
1007,1037,5.84562358277,6.01977324263
1037,1061,6.01977324263,6.15909297052
1061,1109,6.15909297052,6.4377324263
1109,1134,6.4377324263,6.58285714286
1134,1159,6.58285714286,6.72798185941
1159,1174,6.72798185941,6.81505668934
1174,1216,6.81505668934,7.05886621315
1216,1251,7.05886621315,7.26204081633
1251,1278,7.26204081633,7.4187755102
1282,1291,7.44199546485,7.49424036281
1291,1353,7.49424036281,7.85414965986
1368,1375,7.9412244898,7.98185941043
1375,1387,7.98185941043,8.05151927438
1387,1398,8.05151927438,8.11537414966
1398,1420,8.11537414966,8.24308390023
1420,1456,8.24308390023,8.45206349206
1459,1473,8.46947845805,8.55074829932
1473,1522,8.55074829932,8.83519274376
1522,1545,8.83519274376,8.96870748299
1545,1574,8.96870748299,9.1370521542
1574,1587,9.1370521542,9.2125170068
1587,1629,9.2125170068,9.45632653061
1629,1668,9.45632653061,9.68272108844
1668,1725,9.68272108844,10.0136054422
1737,1744,10.0832653061,10.1239002268
1744,1783,10.1239002268,10.3502947846
1783,1807,10.3502947846,10.4896145125
1807,1836,10.4896145125,10.6579591837
1836,1870,10.6579591837,10.8553287982
1870,1933,10.8553287982,11.2210430839
1942,1951,11.2732879819,11.3255328798
1951,1984,11.3255328798,11.5170975057
1984,2005,11.5170975057,11.6390022676
2005,2030,11.6390022676,11.7841269841
2030,2040,11.7841269841,11.8421768707
2043,2067,11.8595918367,11.9989115646
2067,2378,11.9989115646,13.8042630385
2378,2403,13.8042630385,13.9493877551
