student,teacher
0,null
1,null
2,null
3,null
4,null
5,null
6,null
7,null
8,null
9,1
10,2
11,3
12,3
13,3
14,4 5
15,6
16,6 7
17,8 9 10
18,11 12
19,13 14 15
20,16
21,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
22,35 36
23,36
24,37 38
25,38
26,39
27,40
28,41 42
29,42
30,42
31,42
32,43
33,43 44
34,45
35,45
36,46
37,47
38,48 49
39,49 50
40,51
41,52
42,53
43,54 55
44,56
45,57
46,57
47,58
48,59 60 61
49,61 62
50,63
51,64 65
52,66 67
53,68
54,68
55,68
